,region,value,device_type
4088,UT,31.0,ios
4089,UT,63.0,android
4090,UT,39.0,ios
4134,UT,13.0,android
4135,UT,18.0,ios
4136,UT,8.0,android
4137,UT,17.0,ios
4138,UT,8.0,android
4139,UT,16.0,ios
4223,UT,33.0,android
4224,UT,22.0,ios
4225,UT,41.0,android
4226,UT,21.0,ios
4227,UT,34.0,android
4228,UT,28.0,ios
4261,UT,5.0,android
4262,UT,6.0,ios
4263,UT,4.0,android
4264,UT,14.0,ios
4265,UT,4.0,android
4266,UT,10.0,ios
4279,UT,32.0,android
4280,UT,24.0,ios
4281,UT,43.0,android
4282,UT,23.0,ios
4283,UT,39.0,android
4284,UT,23.0,ios
4404,UT,20.0,android
4405,UT,9.0,ios
4406,UT,29.0,android
4407,UT,12.0,ios
4408,UT,12.0,android
4409,UT,6.0,ios
4586,UT,5.0,android
4587,UT,11.0,ios
4588,UT,5.0,android
4589,UT,15.0,ios
4590,UT,4.0,android
4591,UT,12.0,ios
4598,UT,,
4755,UT,8.0,android
4756,UT,15.0,ios
4757,UT,20.0,android
4758,UT,15.0,ios
4759,UT,24.0,android
4760,UT,14.0,ios
4782,UT,27.0,android
4783,UT,7.0,ios
4784,UT,21.0,android
4785,UT,9.0,ios
4786,UT,23.0,android
4787,UT,9.0,ios
4824,UT,59.0,android
4825,UT,37.0,ios
4826,UT,73.0,android
4827,UT,41.0,ios
4828,UT,60.0,android
4829,UT,33.0,ios
4876,UT,42.0,android
4877,UT,37.0,ios
4878,UT,51.0,android
4879,UT,41.0,ios
4880,UT,44.0,android
4881,UT,40.0,ios
5003,UT,8.0,android
5004,UT,4.0,ios
5005,UT,5.0,android
5006,UT,4.0,ios
5007,UT,5.0,android
5008,UT,0.0,ios
5025,UT,53.0,android
5026,UT,58.0,ios
5027,UT,53.0,android
5028,UT,55.0,ios
5029,UT,43.0,android
5030,UT,48.0,ios
5065,UT,12.0,android
5066,UT,8.0,ios
5067,UT,11.0,android
5068,UT,4.0,ios
5069,UT,6.0,android
5070,UT,4.0,ios
5089,UT,32.0,android
5090,UT,32.0,ios
5091,UT,37.0,android
5092,UT,18.0,ios
5093,UT,31.0,android
5094,UT,15.0,ios
5369,UT,41.0,android
5370,UT,18.0,ios
5371,UT,32.0,android
5372,UT,10.0,ios
5373,UT,28.0,android
5374,UT,17.0,ios
5391,UT,46.0,android
5392,UT,16.0,ios
5393,UT,43.0,android
5394,UT,27.0,ios
5395,UT,36.0,android
5396,UT,26.0,ios
5403,UT,55.0,android
5404,UT,60.0,ios
5405,UT,50.0,android
5406,UT,64.0,ios
5407,UT,54.0,android
5408,UT,58.0,ios
5431,UT,26.0,android
5432,UT,26.0,ios
5433,UT,22.0,android
5434,UT,19.0,ios
5435,UT,46.0,android
5436,UT,33.0,ios
5497,UT,31.0,android
5498,UT,23.0,ios
